id,color,school_id
393,green,75.0
395,green,122.0
396,green,251.0
409,lime,198.0
399,green,37.0
400,green,146.0
402,green,110.0
404,green,205.0
405,green,128.0
406,green,110.0
407,green,35.0
3305,lime,
413,lime,251.0
417,lime,62.0
416,lime,244.0
418,lime,82.0
419,lime,146.0
401,green,198.0
422,lime,251.0
1324,lime,62.0
1303,green,252.0
1304,green,252.0
1305,green,252.0
1306,green,244.0
1307,green,252.0
1309,green,133.0
1314,green,198.0
1311,green,132.0
1316,green,249.0
1317,lime,82.0
1318,lime,244.0
1320,lime,244.0
1321,lime,252.0
1322,lime,262.0
1343,lime,62.0
1329,lime,249.0
1330,lime,249.0
1331,green,82.0
1332,green,244.0
1333,green,244.0
1338,green,212.0
9526,green,
1339,lime,20.0
1340,lime,15.0
1342,lime,252.0
1344,lime,139.0
1345,green,15.0
1346,green,90.0
1347,green,115.0
1312,green,62.0
1348,green,90.0
1334,green,62.0
3264,lime,254.0
3239,lime,276.0
3242,lime,276.0
3278,lime,254.0
3282,lime,254.0
3275,lime,254.0
3279,lime,254.0
3921,lime,64.0
3864,lime,111.0
4084,lime,198.0
4087,lime,198.0
4095,lime,198.0
4093,lime,198.0
4126,lime,198.0
268,lime,105.0
476,lime,252.0
477,lime,21.0
478,lime,194.0
479,lime,199.0
480,lime,203.0
481,lime,117.0
482,green,244.0
483,green,244.0
484,green,20.0
486,green,203.0
487,green,169.0
488,green,201.0
495,lime,15.0
496,lime,176.0
497,lime,33.0
498,lime,155.0
499,green,15.0
500,green,172.0
501,green,16.0
502,green,82.0
503,green,15.0
504,green,199.0
505,green,176.0
506,green,189.0
1323,lime,62.0
1350,green,135.0
1351,green,128.0
1352,green,135.0
1353,green,128.0
1354,green,168.0
9527,green,
4109,lime,198.0
4131,lime,198.0
4204,lime,283.0
4193,lime,286.0
548,green,90.0
549,green,172.0
550,green,26.0
551,green,103.0
552,green,199.0
553,green,224.0
554,green,135.0
555,green,151.0
608,lime,105.0
5092,green,62.0
525,lime,167.0
526,lime,135.0
527,green,244.0
528,green,244.0
529,green,90.0
530,green,252.0
531,green,252.0
532,green,188.0
533,green,201.0
542,lime,15.0
543,lime,82.0
544,lime,82.0
3454,green,
570,lime,194.0
571,green,82.0
572,green,201.0
573,green,151.0
1355,green,128.0
1356,green,168.0
1357,green,128.0
1358,green,128.0
9528,green,
1359,green,128.0
1360,green,169.0
1361,green,128.0
1362,green,168.0
1363,lime,102.0
1364,lime,172.0
1365,lime,90.0
1366,lime,215.0
1367,green,101.0
9532,green,
1368,green,264.0
1369,green,128.0
10138,green,195.0
1370,green,128.0
1371,green,244.0
1372,green,239.0
10139,green,245.0
1373,green,128.0
10146,lime,82.0
10147,green,166.0
10148,green,195.0
10149,green,190.0
10150,green,149.0
10151,green,245.0
10152,green,190.0
545,lime,244.0
546,lime,194.0
547,green,201.0
628,green,200.0
1374,green,90.0
1375,lime,90.0
1376,green,102.0
1377,green,143.0
3320,green,
3321,green,33.0
3322,green,102.0
1384,green,85.0
1385,green,171.0
1386,green,109.0
1387,green,109.0
1388,green,213.0
1389,green,258.0
1390,green,143.0
1391,green,143.0
1392,green,50.0
3323,green,102.0
1399,lime,72.0
1405,green,251.0
1488,green,249.0
3458,lime,
1409,green,171.0
1411,green,40.0
1414,green,251.0
1415,lime,251.0
1416,lime,251.0
1417,lime,251.0
3545,green,47.0
1424,lime,251.0
1426,green,251.0
1413,green,62.0
3324,green,
3325,green,
1429,green,251.0
1487,green,192.0
1504,lime,198.0
1434,green,46.0
1450,lime,198.0
1496,green,192.0
1500,green,192.0
1481,green,62.0
1443,green,82.0
1441,lime,198.0
9529,green,
9530,green,
9531,green,
9533,green,
10140,green,37.0
10141,green,71.0
715,green,216.0
716,green,242.0
717,green,203.0
3309,lime,
719,green,251.0
720,green,82.0
721,green,203.0
722,green,251.0
724,green,62.0
725,green,206.0
726,green,137.0
727,green,235.0
728,green,203.0
729,green,206.0
730,green,143.0
731,green,41.0
1451,lime,282.0
1476,lime,198.0
1452,green,244.0
1453,green,251.0
1454,green,251.0
1455,green,35.0
1456,green,166.0
1490,green,277.0
1458,green,96.0
1459,green,118.0
1460,green,223.0
1461,green,31.0
1462,green,190.0
1464,green,85.0
1465,green,190.0
1466,green,71.0
1467,green,190.0
1469,green,149.0
1470,green,101.0
1471,green,244.0
1472,green,206.0
1473,green,190.0
1474,green,190.0
1475,lime,251.0
1477,lime,251.0
1478,lime,104.0
1479,green,35.0
1480,green,71.0
1482,green,212.0
1483,green,174.0
1484,green,174.0
1492,green,249.0
1493,green,212.0
1497,green,35.0
1498,green,179.0
1505,lime,82.0
9534,green,
9537,green,
9538,green,
1503,lime,62.0
10142,green,195.0
10143,green,85.0
10144,green,190.0
10145,green,263.0
5106,green,198.0
167,lime,63.0
581,lime,194.0
582,lime,82.0
584,lime,20.0
585,lime,198.0
1523,green,244.0
1525,green,83.0
1526,green,40.0
1527,green,40.0
1528,green,47.0
1529,green,47.0
1530,green,78.0
1531,lime,37.0
1511,green,198.0
1534,green,172.0
1535,green,78.0
1536,green,172.0
3432,green,
1538,green,83.0
1539,green,40.0
1540,lime,172.0
1541,lime,3.0
3433,green,
3434,green,
1548,lime,90.0
1549,lime,119.0
1550,green,261.0
3435,green,
1554,green,119.0
1555,green,102.0
1556,green,224.0
1558,green,172.0
1559,green,90.0
1560,green,212.0
1561,green,235.0
1562,green,212.0
1563,green,224.0
1564,green,264.0
1565,green,212.0
1566,green,224.0
1567,green,224.0
1568,green,224.0
1569,green,169.0
1570,green,224.0
1571,green,212.0
1572,green,90.0
1573,green,90.0
1574,green,224.0
1524,green,244.0
9535,green,
9536,green,
10153,green,
886,green,122.0
887,green,35.0
888,green,190.0
900,lime,122.0
899,lime,105.0
903,lime,198.0
915,green,190.0
898,lime,62.0
3328,green,6.0
1623,lime,198.0
3436,green,
1588,lime,161.0
3437,green,
3438,green,
3439,green,
3440,green,
3441,green,
3442,green,
3443,green,
1596,green,171.0
1599,green,244.0
1600,green,102.0
1601,green,244.0
1602,green,135.0
1603,green,244.0
1604,green,235.0
1605,green,135.0
1606,green,135.0
1607,green,99999.0
1608,green,99999.0
1609,green,99999.0
1610,green,121.0
1611,lime,251.0
1612,lime,205.0
1613,lime,99999.0
1614,green,54.0
1615,green,203.0
1616,green,135.0
1617,green,206.0
1618,green,135.0
1619,green,205.0
1620,green,206.0
1621,green,205.0
9539,green,
927,green,62.0
10154,green,
971,green,42.0
1622,green,99999.0
1625,green,143.0
1626,green,90.0
1627,green,72.0
1628,green,128.0
1629,green,168.0
1630,green,216.0
1632,green,90.0
1633,green,72.0
1634,green,85.0
1635,green,90.0
1636,green,99999.0
1637,green,216.0
1733,green,89.0
1900,lime,38.0
1747,green,279.0
1741,green,277.0
1740,green,49.0
1746,green,257.0
1060,green,37.0
1061,green,128.0
1062,green,55.0
1063,green,224.0
589,green,184.0
590,green,252.0
